# Branch cleanup 2026-06-25 — branch<TAB>SHA recovery record
# Recover any branch with: git branch <name> <sha>
claude/hardcore-poitras-4022d2	6418a5eb6
super-employee/codex/9-16377-900d65	579c7de6f
super-employee/codex/9-16660-a7d42e	579c7de6f
super-employee/codex/9-23491-db64e5	579c7de6f
super-employee/codex/9-25313-605ba6	ddb37988c
super-employee/codex/9-26403-11bfa9	579c7de6f
super-employee/codex/9-27285-c10e9b	ce8d5231d
super-employee/codex/9-27980-a08040	579c7de6f
super-employee/codex/9-31846-2983de	a9c685b37
super-employee/codex/9-31962-62fa0	579c7de6f
super-employee/codex/9-32736-81bff7	ddb37988c
super-employee/codex/9-3398-53e417	ce8d5231d
super-employee/codex/9-3428-cc8c62	579c7de6f
super-employee/codex/9-35246-e1c375	579c7de6f
super-employee/codex/9-41770-643295	74f4628e6
super-employee/codex/9-42363-282c97	579c7de6f
super-employee/codex/9-44590-64706d	579c7de6f
super-employee/codex/9-46923-585dbc	579c7de6f
super-employee/codex/9-47700-7f205d	3447a4315
super-employee/codex/9-48389-13e20f	579c7de6f
